Year,Host,Winner,Runner_Up,Goals_Scored,Matches_Played,Teams
1930,Uruguay,Uruguay,Argentina,70,18,13
1934,Italy,Italy,Czechoslovakia,70,17,16
1938,France,Italy,Hungary,84,18,15
1950,Brazil,Uruguay,Brazil,88,22,13
1954,Switzerland,West Germany,Hungary,140,26,16
1958,Sweden,Brazil,Sweden,126,35,16
1962,Chile,Brazil,Czechoslovakia,89,32,16
1966,England,England,West Germany,89,32,16
1970,Mexico,Brazil,Italy,95,32,16
1974,West Germany,West Germany,Netherlands,97,38,16
1978,Argentina,Argentina,Netherlands,102,38,16
1982,Spain,Italy,West Germany,146,52,24
1986,Mexico,Argentina,West Germany,132,52,24
1990,Italy,West Germany,Argentina,115,52,24
1994,USA,Brazil,Italy,141,52,24
1998,France,France,Brazil,171,64,32
2002,South Korea & Japan,Brazil,Germany,161,64,32
2006,Germany,Italy,France,147,64,32
2010,South Africa,Spain,Netherlands,145,64,32
2014,Brazil,Germany,Argentina,171,64,32
2018,Russia,France,Croatia,169,64,32
2022,Qatar,Argentina,France,172,64,32
